admin,admin
adqq,2423
adwww,1234
grgrgr,rggrgr
anagkoahpmfthgoqoymb,lmwgyxhgukujyxleoeoi
zyfcfnewujcvmsscuzmc,ailcmwhrpqfwhbydembm
,
xbrvyusdarptwrnmyfyl,hxvoehuoswuehohuueaa
,
egqmsmhcojrzisauoblf,iffvakediiaqjnyjhcet
,
ooyosvotcwpwgvovzssr,brjvpswcuofbwtaechxq
,
qxcwqmlzyvngjdohadho,hzyoeylsxoyxbqdiwevn
,
xxrixbvwdxtbodqjbgnj,bhsrqblfjstxtthccmph
,
exddstzilivssewyydby,wurrfokojbpcqjnomncn
,
rxukowkobhnirqhdwubt,lokungydcrhjwnhvrkse
,
sulpnsfuwlmtcddjpmyg,ekywbypgxirmbhtuaqox
,
fynlhrlpmdwltmhzyfuc,ahbmokocuwesezfpwbob
,
